config,seed,session,budget_frames,ref_raw_r2
film,3,ses-2020-10-30-Run1,3200,0.15791216492652893
film,3,ses-2020-10-30-Run1,1000000000,0.15791216492652893
film,3,ses-2020-10-30-Run2,200,0.17953865677118303
film,3,ses-2020-10-30-Run2,400,0.16379388496279718
film,3,ses-2020-10-30-Run2,800,0.16958801969885826
film,3,ses-2020-10-30-Run2,1600,0.16575151979923247
film,3,ses-2020-10-30-Run2,3200,0.16635171845555305
film,3,ses-2020-10-30-Run2,1000000000,0.16635171845555305
film,3,ses-2020-11-18-Run1,200,0.15345991551876068
film,3,ses-2020-11-18-Run1,400,0.15099670886993408
film,3,ses-2020-11-18-Run1,800,0.15311979949474336
film,3,ses-2020-11-18-Run1,1600,0.14994592368602752
film,3,ses-2020-11-18-Run1,3200,0.14971042573451995
film,3,ses-2020-11-18-Run1,1000000000,0.14971042573451995
film,3,ses-2020-11-19-Run1,200,0.08913095369935035
film,3,ses-2020-11-19-Run1,400,0.0886736954562366
film,3,ses-2020-11-19-Run1,800,0.08582170391455293
film,3,ses-2020-11-19-Run1,1600,0.08596061770804227
film,3,ses-2020-11-19-Run1,3200,0.08528360920026898
film,3,ses-2020-11-19-Run1,1000000000,0.08528360920026898
film,3,ses-2020-11-24-Run1,200,0.14463694840669633
film,3,ses-2020-11-24-Run1,400,0.13980866074562073
film,3,ses-2020-11-24-Run1,800,0.14436674639582633
film,3,ses-2020-11-24-Run1,1600,0.14402936398983002
film,3,ses-2020-11-24-Run1,3200,0.1443325512111187
film,3,ses-2020-11-24-Run1,1000000000,0.1443325512111187
film,3,ses-2020-11-24-Run2,200,0.04759269580245018
film,3,ses-2020-11-24-Run2,400,0.05303180534392595
film,3,ses-2020-11-24-Run2,800,0.049697349593043325
film,3,ses-2020-11-24-Run2,1600,0.0491537056863308
film,3,ses-2020-11-24-Run2,3200,0.049641539715230464
film,3,ses-2020-11-24-Run2,1000000000,0.049641539715230464
