seed,hidden,nparam,session,budget_frames,calib_seconds,ref_raw_r2
3,128,13634,ses-2020-10-30-Run1,200,4.0,0.3446647346019745
3,128,13634,ses-2020-10-30-Run1,400,8.0,0.3365419000387192
3,128,13634,ses-2020-10-30-Run1,800,16.0,0.3328441888093948
3,128,13634,ses-2020-10-30-Run1,1600,32.0,0.33710130751132966
3,128,13634,ses-2020-10-30-Run1,3200,43.6,0.336616525053978
3,128,13634,ses-2020-10-30-Run1,1000000000,43.6,0.336616525053978
3,128,13634,ses-2020-10-30-Run2,200,4.0,0.2501887559890747
3,128,13634,ses-2020-10-30-Run2,400,8.0,0.24434078931808473
3,128,13634,ses-2020-10-30-Run2,800,16.0,0.24290234372019767
3,128,13634,ses-2020-10-30-Run2,1600,32.0,0.2596199870109558
3,128,13634,ses-2020-10-30-Run2,3200,40.8,0.2612928837537766
