config,seed,nparam,session,budget_frames,ref_raw_r2
glu,2,7234,ses-2020-11-18-Run1,800,0.11555763483047485
glu,2,7234,ses-2020-11-18-Run1,1600,0.10416294038295745
glu,2,7234,ses-2020-11-18-Run1,3200,0.10708824396133423
glu,2,7234,ses-2020-11-18-Run1,1000000000,0.10708824396133423
glu,2,7234,ses-2020-11-19-Run1,200,0.002315647341310978
glu,2,7234,ses-2020-11-19-Run1,400,-0.007239765673875809
glu,2,7234,ses-2020-11-19-Run1,800,-0.00804973803460598
glu,2,7234,ses-2020-11-19-Run1,1600,-0.012739692628383637
glu,2,7234,ses-2020-11-19-Run1,3200,-0.008430280908942222
glu,2,7234,ses-2020-11-19-Run1,1000000000,-0.008430280908942222
glu,2,7234,ses-2020-11-24-Run1,200,-0.04692392945289612
glu,2,7234,ses-2020-11-24-Run1,400,-0.04942049426026642
glu,2,7234,ses-2020-11-24-Run1,800,-0.01222001314163208
glu,2,7234,ses-2020-11-24-Run1,1600,-0.007136642932891846
glu,2,7234,ses-2020-11-24-Run1,3200,-0.005237151682376861
glu,2,7234,ses-2020-11-24-Run1,1000000000,-0.005237151682376861
glu,2,7234,ses-2020-11-24-Run2,200,-0.10697544738650322
glu,2,7234,ses-2020-11-24-Run2,400,-0.11066480875015258
glu,2,7234,ses-2020-11-24-Run2,800,-0.09791767671704292
glu,2,7234,ses-2020-11-24-Run2,1600,-0.10691606104373932
glu,2,7234,ses-2020-11-24-Run2,3200,-0.1041975773870945
glu,2,7234,ses-2020-11-24-Run2,1000000000,-0.1041975773870945
glu,3,7234,ses-2020-10-30-Run1,200,0.371416237950325
glu,3,7234,ses-2020-10-30-Run1,400,0.36079941093921664
glu,3,7234,ses-2020-10-30-Run1,800,0.366569784283638
glu,3,7234,ses-2020-10-30-Run1,1600,0.37055822610855105
glu,3,7234,ses-2020-10-30-Run1,3200,0.3684005230665207
glu,3,7234,ses-2020-10-30-Run1,1000000000,0.3684005230665207
glu,3,7234,ses-2020-10-30-Run2,200,0.259438219666481
glu,3,7234,ses-2020-10-30-Run2,400,0.2505917862057686
glu,3,7234,ses-2020-10-30-Run2,800,0.25176498144865034
glu,3,7234,ses-2020-10-30-Run2,1600,0.2575268164277077
