config,seed,nparam,session,budget_frames,calib_seconds,ref_raw_r2
plain,3,4130,ses-2020-11-24-Run1,800,16.0,0.1575187474489212
plain,3,4130,ses-2020-11-24-Run1,1600,32.0,0.16745372414588927
plain,3,4130,ses-2020-11-24-Run1,3200,35.4,0.16710040271282195
plain,3,4130,ses-2020-11-24-Run1,1000000000,35.4,0.16710040271282195
plain,3,4130,ses-2020-11-24-Run2,200,4.0,0.011477326601743698
plain,3,4130,ses-2020-11-24-Run2,400,8.0,0.012915989197790623
plain,3,4130,ses-2020-11-24-Run2,800,16.0,0.018862818740308283
plain,3,4130,ses-2020-11-24-Run2,1600,32.0,0.020907088834792375
plain,3,4130,ses-2020-11-24-Run2,3200,37.6,0.021745442040264608
plain,3,4130,ses-2020-11-24-Run2,1000000000,37.6,0.021745442040264608
se,1,6542,ses-2020-10-30-Run1,200,4.0,0.38635851740837096
se,1,6542,ses-2020-10-30-Run1,400,8.0,0.38573724031448364
se,1,6542,ses-2020-10-30-Run1,800,16.0,0.39037508964538575
se,1,6542,ses-2020-10-30-Run1,1600,32.0,0.39002140164375304
se,1,6542,ses-2020-10-30-Run1,3200,43.6,0.3901259541511536
se,1,6542,ses-2020-10-30-Run1,1000000000,43.6,0.3901259541511536
se,1,6542,ses-2020-10-30-Run2,200,4.0,0.35540026128292085
se,1,6542,ses-2020-10-30-Run2,400,8.0,0.35824606716632845
se,1,6542,ses-2020-10-30-Run2,800,16.0,0.35377274453639984
se,1,6542,ses-2020-10-30-Run2,1600,32.0,0.3560327529907227
se,1,6542,ses-2020-10-30-Run2,3200,40.8,0.3581217139959335
se,1,6542,ses-2020-10-30-Run2,1000000000,40.8,0.3581217139959335
se,1,6542,ses-2020-11-18-Run1,200,4.0,0.15312875509262086
se,1,6542,ses-2020-11-18-Run1,400,8.0,0.16124914288520814
se,1,6542,ses-2020-11-18-Run1,800,16.0,0.15091980397701263
se,1,6542,ses-2020-11-18-Run1,1600,32.0,0.15564217567443847
se,1,6542,ses-2020-11-18-Run1,3200,40.3,0.1550496906042099
se,1,6542,ses-2020-11-18-Run1,1000000000,40.3,0.1550496906042099
se,1,6542,ses-2020-11-19-Run1,200,4.0,-0.005138689279556274
se,1,6542,ses-2020-11-19-Run1,400,8.0,0.009788075834512711
se,1,6542,ses-2020-11-19-Run1,800,16.0,0.005508740246295929
se,1,6542,ses-2020-11-19-Run1,1600,32.0,0.0021233852952718736
se,1,6542,ses-2020-11-19-Run1,3200,48.7,0.004840055853128434
se,1,6542,ses-2020-11-19-Run1,1000000000,48.7,0.004840055853128434
se,1,6542,ses-2020-11-24-Run1,200,4.0,0.05627725422382355
se,1,6542,ses-2020-11-24-Run1,400,8.0,0.05265151523053646
se,1,6542,ses-2020-11-24-Run1,800,16.0,0.05808020532131195
se,1,6542,ses-2020-11-24-Run1,1600,32.0,0.0705378994345665
se,1,6542,ses-2020-11-24-Run1,3200,35.4,0.06974759846925735
se,1,6542,ses-2020-11-24-Run1,1000000000,35.4,0.06974759846925735
se,1,6542,ses-2020-11-24-Run2,200,4.0,0.04242106825113297
se,1,6542,ses-2020-11-24-Run2,400,8.0,0.022358558839187026
se,1,6542,ses-2020-11-24-Run2,800,16.0,0.04225425384938717
se,1,6542,ses-2020-11-24-Run2,1600,32.0,0.038565651327371595
se,1,6542,ses-2020-11-24-Run2,3200,37.6,0.040891682356595994
se,1,6542,ses-2020-11-24-Run2,1000000000,37.6,0.040891682356595994
se,2,6542,ses-2020-10-30-Run1,200,4.0,0.43609894514083863
se,2,6542,ses-2020-10-30-Run1,400,8.0,0.443158221244812
se,2,6542,ses-2020-10-30-Run1,800,16.0,0.44050955176353457
se,2,6542,ses-2020-10-30-Run1,1600,32.0,0.4441115915775299
se,2,6542,ses-2020-10-30-Run1,3200,43.6,0.44256906509399413
se,2,6542,ses-2020-10-30-Run1,1000000000,43.6,0.44256906509399413
